Id,Functionality Name,Attribute 1 (Categroy),Attribute 2 (Demand Measurement Unit),Functionality Description,Functionality Experience,Remarks,
62,Regenerative braking,Economy,With or without,"Brake energy recovery is an application in automobiles or rail transit. When a vehicle brakes, the kinetic energy of the vehicle is recovered and converted into electrical energy, which is stored in a capacitor and can be quickly released when needed. Brake energy recovery includes a vehicle-specific generator, a battery, and an intelligent battery management system that monitors battery charging. The brake energy recovery system recovers the excess energy released during braking or coasting of the vehicle, converts it into electrical energy through a generator, stores it in a battery, and provides power for subsequent acceleration. This battery can also power electrical equipment in the vehicle, reducing reliance on the engine, reducing fuel consumption and carbon dioxide emissions.",Driving economy,,
63,Complete vehicle warranty,Economy,year or kilometer,"The whole vehicle warranty means that various parts will be replaced free of charge if the damage is confirmed to be a quality issue rather than man-made damage. For example, if there are problems with parts such as the speedometer or air conditioner, they can be repaired free of charge if they are within the warranty period or the specified mileage.","Repair cost, warranty, guarantee",,
64,Road traffic sign recognition,Intelligence,With or without,"Traffic sign recognition is an automotive technology that detects traffic sign information and converts it into symbolic form displayed on the instrument cluster or head-up display, allowing drivers to understand current speed limits and no-passing zones, etc.","Safety, safety reminders, driving convenience",,
65,Automatic parking,Intelligence,Have or have not,"Automatic parking (Park Assist Vision) is an automatic parking system, namely an automatic parking function; that is, an automated driving technology for automatically or unmanned parking a car into a designated parking space, which can help drivers park their cars faster, automatically, and correctly. The principle of automatic parking is to measure the distance and angle between itself and surrounding objects through radar sensors distributed around the vehicle, and then calculate the operating procedure through the on-board computer, coordinating the steering wheel rotation with speed adjustment. The driver only needs to control the speed.","Driving comfort, parking convenience",,
66,Remote parking,Intelligence,Have or have not,"Remote parking is a convenient parking technology that allows car owners to remotely operate the vehicle from a distance of approximately 10 meters using a remote control similar to a slider phone. With this feature, car owners can remotely start the vehicle, control its forward and backward movement, and turn the steering wheel left and right.","Driving comfort, parking convenience, ease of getting in and out of the vehicle",,
67,Assisted driving level,Intelligence,Type,"Driving assistance levels are often broadly referred to as autonomous driving levels. According to the J3016 standard released by the Society of Automotive Engineers (SAE) in 2018, they are divided into 6 levels, from L0 to L5, with higher numbers indicating a greater degree of automation. L0 level: The vehicle is completely operated by the driver, including steering, braking, and acceleration, all of which are determined by the driver. The car is only responsible for providing warnings, such as blind spot monitoring, lane departure warning, and relatively simple driver assistance functions such as automatic emergency braking. L1 level: Refers to vehicles with logically simple driving assistance functions that can provide auxiliary control for steering, braking, and acceleration, such as automatic parking, adaptive cruise control, and lane keeping, but are mostly controlled by the driver and are used in many models in China. L2 level: The ADAS system currently installed in some vehicles can provide auxiliary functions for steering, braking, and acceleration simultaneously. For example, it can also adaptively cruise while maintaining lane. L2 level driving assistance function is considered the prototype of autonomous driving, but the driver still needs to lead the vehicle's driving. Currently, the vast majority of models equipped with autonomous driving assistance functions can reach L2 level, that is, meet the autonomous driving in the forward driving direction. L3 level: Refers to vehicles that can perform vehicle driving functions with stronger logic, further freeing the driver's hands and feet. The vehicle can autonomously complete driving operations in a specific environment. L3 level is still subject to many restrictions and requires the driver to cooperate. L4 level: Refers to vehicles that can achieve fully autonomous driving in specific areas, and can automatically drive in most non-specific environments, with some requiring driver intervention. Although the autonomous driving function of L4 level is already very complete, it is still subject to conditions. L5 level: L5 level fully realizes autonomous driving, breaking through the geographical restrictions of L4 level. It is the highest level of autonomous driving and is currently impossible to achieve, and is the future pursuit of the automotive industry.","Driving comfort, driving safety, intelligent driving",L1/L2/L3/L4/L5,
68,GPS navigation system,Intelligence,With or without,"GPS navigation systems are satellite-based positioning and navigation systems primarily used in automobiles to provide real-time location and navigation information.  They consist of a group of satellites orbiting the Earth, ground monitoring stations, and user devices. By receiving and interpreting signals from multiple satellites, they determine the vehicle's precise location on Earth. This information is used to provide drivers with optimal route suggestions, avoid traffic congestion, and ensure driving safety. In addition to the US GPS system, satellite navigation systems from other countries, such as China's BeiDou satellite system, are also integrated into car navigation systems, providing more accurate map information and positioning services. GPS navigation systems have become an indispensable tool in modern automobiles, greatly enhancing driving convenience and safety.","Driving convenience, driving safety, route planning, traffic avoidance",,
69,Navigation traffic information display,Intelligence,With or without,"Navigation traffic information display refers to real-time display of traffic congestion and smoothness in navigation information, helping drivers better choose routes, avoid congestion and accidents, and thus arrive at their destination faster. This function uses different colors to represent road conditions: green represents smooth traffic, yellow represents slow traffic, light red represents congestion, and dark red represents severe congestion.  Meanwhile, icons in event-type traffic conditions can display traffic situations caused by different reasons, such as slow traffic, congestion, construction, closure, accidents, etc., providing drivers with comprehensive road condition information.","Driving convenience, driving safety, route planning, congestion avoidance, information visualization",,
70,AR real-scene navigation,Intelligence,With or without,"AR real-scene navigation is a navigation system that integrates augmented reality (AR) technology.  It overlays virtual navigation information onto the real-world road environment, providing users with a more intuitive and realistic navigation experience. AR real-scene navigation not only displays navigation information in 3D but also incorporates real-time traffic conditions, offering the highest level of intuitiveness among current navigation methods. It uses a camera to acquire road information and then combines virtual navigation information with the actual road environment through computer graphics processing technology, creating a highly realistic navigation scene. Users can see the real-time road conditions, including traffic flow, road conditions, and traffic lights, allowing them to better choose their route.","Driving convenience, driving safety, intuitive operation, information visualization, 3D display",,
71,Bluetooth/Hands-free Calling,Intelligence,With or without,"Bluetooth/car phone is a communication device designed for driving safety and comfort. It allows drivers to connect to their mobile phones via Bluetooth technology while driving, without leaving the steering wheel or using cables or phone holders, to answer and make calls. This technology transmits sound through the car audio system, and the driver can operate the mobile phone via multi-function buttons on the steering wheel or a voice recognition system, thus reducing the risk of accidents caused by operating the mobile phone and avoiding violations of traffic regulations.","Driving safety, driving comfort, and ease of making calls.",,
72,Mobile phone interconnection mapping,Intelligence,Type,"Mobile phone interconnection mapping, also known as car-machine interconnection, refers to projecting the content of a mobile phone screen onto the in-vehicle display screen, realizing the interconnection between the car and the mobile phone. Through this method, drivers and passengers can directly operate various applications in their mobile phones on the in-vehicle display, such as navigation, video, music, and games, providing more convenient and diverse entertainment and information services for passengers in the vehicle. The mobile phone can connect to the in-vehicle system via USB, Bluetooth, or wireless network, achieving seamless connection.","Interconnection, entertainment, screencasting, information visualization","CarPlay, CarLife, CarLink, HiCar",
73,Speech recognition control system,Intelligence,Have or have not,"The voice recognition control system is a convenient feature that allows drivers to control various functions of the car through voice commands. This system can recognize the driver's voice commands and complete operations such as making phone calls, adjusting the volume, adjusting the air conditioning, querying routes, opening and closing windows, and playing music accordingly. By using this system, drivers can focus more on road conditions and do not have to be distracted by manually operating various vehicle devices, thereby improving driving safety and comfort. Furthermore, with the advancement of technology, modern voice recognition control systems can now recognize natural language, allowing vehicle occupants to control some in-car functions as if they were having a normal conversation, further enhancing the user experience.","Ease of control, driving safety, driving comfort, intelligent control",,
74,Gesture control function,Intelligence,Have or have not,"Gesture control refers to a technology that allows users to control vehicle multimedia and other systems through hand gestures. Common gesture operations include single-finger pointing, palm swiping, single-finger rotation, and two-finger pointing, which can be used to adjust volume, adjust air conditioning temperature, and so on. The working principle is that the 3D camera above the center console emits light, and by calculating the time difference between the light emission and receiving devices, it analyzes the changes in gestures, and then transmits the data to the control unit of the vehicle system, identifies the function corresponding to the gesture, and issues corresponding operation commands.","Ease of control, air gestures",,
75,Facial recognition,Intelligence,Have or have not,"Facial recognition is a biometric identification technology that primarily uses cameras to collect facial information from drivers or passengers and converts this information into data for identity verification. This technology is now widely used in intelligent automotive configurations and has the following functions and applications: Identity authentication and personalized settings: Through facial recognition, the car can confirm the driver's identity and restore personalized settings such as seat position and music preferences according to individual preset preferences. Enhanced safety and convenience: Facial recognition technology improves the safety and convenience of cars, for example, it can achieve keyless unlocking and engine starting, reducing the risk of losing keys. Driving status monitoring: The system can also monitor the driver's status in real-time, such as fatigue driving and distraction, and promptly issue voice reminders to ensure driving safety.","Information collection, identity authentication, personalization, security, convenience, driving status monitoring",,
76,In-vehicle intelligent system,Intelligence,Type,The in-vehicle intelligent system primarily provides a control platform for in-vehicle infotainment services and human-machine interaction within the vehicle. It serves as the operating environment for the vehicle to achieve intelligent cockpit functionality and multi-source information fusion.,"Intelligent, smooth operation, no lag, user-friendly interface","HarmonyOS, Xiaomi HyperOS, DiLink, iDrive, Xmart OS, Banyan, MMI, MBUX...",
77,Internet of Vehicles,Intelligence,With or without,"Vehicle-to-Everything (V2X) refers to a massive interactive network formed by vehicle-mounted devices using wireless communication technology to effectively utilize all vehicle dynamic information in the information network platform, and to realize interaction between vehicles, vehicles and roads, vehicles and people, and vehicles and sensing devices. This technology enables vehicles to collect information about their own environment and status, and transmit this information to a central processor via the internet for analysis and processing, thereby achieving intelligent traffic management, intelligent dynamic information services, and intelligent vehicle control, improving road safety, reducing traffic congestion, and providing a better travel experience for drivers and passengers.","Interconnection, intelligence, information acquisition, entertainment, screen projection, control, information visualization",,
78,OTA upgrade,Intelligence,With or without,"OTA upgrade refers to the process of downloading and installing new software, firmware, or system updates to a vehicle's electronic control units via a wireless network (such as Wi-Fi or cellular data connection).","System update, system upgrade",,
79,Mobile App Remote Control,Intelligence,Type,"Remote control of a car via a mobile phone app refers to the ability, in the era of connected cars, for car owners to remotely control and manage their vehicles through a mobile application (App). This function allows users to perform operations such as checking vehicle status, remotely controlling the vehicle (such as starting the engine, turning off the engine, unlocking the doors, locking the doors, etc.), scheduling after-sales service, and one-button roadside assistance calls without directly operating the car.","Intelligent, mobile phone control, real-time monitoring, remote start, remote locking, pre-cooling","Vehicle monitoring, remote control, charging management, service appointment, digital key, intelligent car finder",
80,Automatic headlights,Intelligence,With or without,"Automatic headlights are an intelligent lighting system that automatically controls the headlights' on/off status by sensing changes in ambient light intensity.  This system usually has a photosensitive control system installed on the headlights. When the ambient light intensity is below or above a certain threshold, the headlights will automatically turn on or off, thus improving driving safety and avoiding safety hazards caused by forgetting to turn the lights on or off. Automatic headlights are especially suitable for entering and exiting tunnels, night driving, or changing weather conditions, automatically adjusting the lighting status to provide the driver with better visibility. When using automatic headlights, simply adjust the vehicle's light control switch to the ""auto"" mode.","Driving safety, driving convenience, extended headlight lifespan, and preventing forgetting to turn lights off.",,
81,Rain-sensing wipers,Intelligence,Have or have not,"A rain-sensing wiper is a type of wiper that can autonomously sense the amount of rainfall and automatically adjust its operating speed. It collects rainfall data through a rain sensor installed behind the vehicle's windshield, and then the computer automatically adjusts the wiper's oscillation frequency based on the amount of rain on the glass. This type of wiper provides drivers with good visibility, thereby greatly improving the convenience and safety of driving in the rain. When it rains, it can automatically turn on, eliminating the need for the driver to manually turn on the wipers; when the rainfall suddenly increases or decreases, it can automatically adjust the wiper oscillation frequency according to the amount of rainfall; after the rain stops, the wipers will also automatically turn off, no longer requiring manual operation by the driver.","Easy handling, driving safety, good visibility.",,
82,Automatic air conditioning,Intelligence,Type,"Automatic air conditioning is a function that can automatically adjust the in-car air conditioning system according to a preset temperature. It monitors the temperature and humidity inside and outside the vehicle through sensors, and automatically adjusts the air volume, direction, and cooling or heating mode to maintain the comfortable environment set by the passengers without manual adjustment.","Ease of handling, riding comfort","Manual, Automatic",
83,Body structure type,Appearance,Type,"The main types of vehicle body structures are divided into three categories: non-integral, integral, and semi-integral. A non-integral body, also known as a chassis frame, has a rigid frame connected to the body via springs or rubber pads. The engine, part of the transmission, and body components are fixed to the frame via suspension devices, and the frame is connected to the wheels via front and rear suspension devices. This type of body structure is relatively bulky, heavy, and tall, and is typically used in trucks, buses, and off-road jeeps. A few high-end sedans also use it because it provides good stability and safety. An integral body does not have a rigid frame. Instead, it strengthens the front, side walls, rear, and floor to assemble the engine, front and rear suspensions, and part of the transmission in the required positions of the body design. The body load is transferred to the wheels through the suspension devices. An integral body not only has a load-bearing function but can also directly withstand various load forces. After years of development and improvement, it has greatly improved in terms of safety and stability. Due to its advantages of small mass, low height, no suspension devices, and easy assembly, most sedans use this type of body structure. In a semi-integral body, the body and frame are rigidly connected by screws, rivets, or welding. In this case, the car body, in addition to bearing various loads, also helps to reinforce the frame and share part of the frame's load.","Body strength, handling, off-road capability","Non-load-bearing, Load-bearing, Semi-load-bearing, Space frame",
84,Number of doors,Appearance,Number of items,"The number of doors refers to the number of doors on a car body.  The number of doors can roughly determine a car's positioning and styling.  Ordinary hatchbacks (like the Golf) and SUVs (like the Tiguan L) usually have 5 doors, while common sedans usually have 4 doors (like the Passat and Camry). Some sedans with hatchback designs have 5 doors (like the Audi A5 and Volkswagen CC), some sedan coupes (like the BMW 3 Series Coupe) have 2 doors, and some stylish cars with unique personalities (like the MINI, Audi A1, and Fiat 500) often have 3 doors.","Personality, coupe, sports car, handsome, fashionable",,
85,Number of seats,Appearance,Number,"The number of seats refers to the total number of seats in the vehicle, including the driver's seat. Typically, the rear seats of family sedans are split 4/6 or are a single piece. Although the passenger sitting in the middle is not very comfortable, it can indeed accommodate 5 people. Some luxury sedans have a fixed central passage designed in the middle of the rear seats, which includes cup holders and buttons (such as the Audi A8L), so these models are standard four-seaters. Some MPV or SUV models (such as the Odyssey, Mercedes-Benz GLS, etc.) also have a third row of seats, ultimately reaching 7 seats.","Convenient transportation, high occupancy, business class, spacious.",,
86,Skylight type,Appearance,Type,"Sunroofs come in the following types: 1. Fixed panoramic sunroof: This is essentially a large glass roof.  Due to its single-piece structure, it offers a large light transmission area. However, as it cannot be opened, ventilation is not possible. 2. Sectionally opening sunroof: This type can be further divided into dual-sunroof and pieced-together types. The dual-sunroof panoramic sunroof adds a non-opening sunroof to a standard sunroof to increase light transmission; while the pieced-together panoramic sunroof consists of two overlapping sunroofs, but with a small overlap area, appearing as a single unit. 3. Entirely opening panoramic sunroof: Due to structural reasons, its area is often smaller than the pieced-together type, generally not exceeding half the roof area. The advantage of the entirely opening sunroof is that it has no partition and features tilting and sliding functions. In some models, it can be opened completely.","Appearance, light transmission, ventilation","Single sunroof, segmented panoramic sunroof (openable), segmented panoramic sunroof (non-openable), openable panoramic sunroof, panoramic sunroof",
87,Wheel size,Appearance,inch,"Wheel size refers to the key specifications of a wheel hub, including diameter, width, offset (ET value), bolt pattern (PCD), and center bore diameter. Diameter and width are expressed in inches. Offset determines the relative position of the wheel mounting surface. Bolt pattern is the diameter of the circle on which the bolt holes are distributed. Center bore diameter must match the wheel hub. These parameters together determine the compatibility and performance of the wheel hub.","Shock absorption, good-looking, fashionable",,
88,Frameless door design,Appearance,With or without,"Frameless car doors refer to doors that only have a lower half, without a frame surrounding the glass. When opened, only the lower half unfolds, presenting a unique visual effect and elegant lines.","Visual impact, appearance, sound insulation, wind noise",,
89,Roof rack,Appearance,With or without,"A roof rack is a support frame or component installed on the top of a vehicle to securely and conveniently hold luggage. It is generally used on station wagons, SUVs, and MPVs. In addition to its decorative and aesthetic function, a roof rack can carry bulky luggage, bicycles, folding beds, etc., making it quite practical. Of course, the weight of the items placed on it should not exceed the maximum load capacity of the rack.","Appearance, Load Capacity",,
90,Concealed door handle,Appearance,Have or have not,"Concealed door handles are a design element aimed at providing smooth lines and a sense of simplicity to the vehicle's exterior. They typically open the door through touch or slight pressure, offering a more streamlined appearance compared to traditional door handles. This design not only helps reduce wind resistance and improve the vehicle's overall aerodynamic performance but is also a major innovation in the field of new energy vehicles. However, this design also has some problems and controversies. While the design of concealed door handles is undoubtedly an innovation, the safety and practicality of the car cannot be ignored while pursuing a sense of technology and aesthetics. There are mainly two forms of concealed door handles in some models: one is to hide the door handle through design, and the other is to really hide the handle, and realize the opening of the door by means of electric pop-up or pressing. Although this design looks high-end, it also has some inconveniences, such as car enthusiasts who are not familiar with it may not be able to find the door handle, or its application range is limited due to special design requirements (such as height requirements for people opening the door).","Appearance, wind resistance, practicality, ease of door opening",,
91,Steering wheel material,Appearance,Type,"Steering wheel material refers to the material covering the outer ring of the steering wheel, commonly including plastic, leather, genuine leather, wood, and carbon fiber. The choice of these materials affects both the driving experience and the price. Specifically: Plastic: Plastic steering wheels are one of the most common materials, relatively low in price, and suitable for economy cars. Leather: Leather steering wheels are slightly more upscale than plastic steering wheels, providing a better feel and visual effect. Genuine leather: Genuine leather steering wheels are usually found in higher-end models, providing a more luxurious feel and visual experience. Wood: Wood steering wheels are usually found in high-end models, providing a unique texture and a sense of luxury. Carbon fiber: Carbon fiber steering wheels are usually found in high-performance or sports models, providing lightweight and strong characteristics.","Appearance, feel, texture, grip, interior","Plastic, leather, wood, carbon fiber",
92,Shifting mechanism,Appearance,Type,"Shifting methods refer to the operating methods of a vehicle's shifting mechanism. Currently, there are eight main types of shifting methods on the market: electronic gear lever shifting, electronic rotary knob shifting, electronic column shifter, button shifting, mechanical gear lever shifting, touch screen shifting, instrument panel integrated shifting, and mechanical column shifter.",Driving comfort,"Mechanical gear stick, electronic gear stick, electronic shift-by-wire",
93,Shifting mechanism,Appearance,Type,"Gear shifting mode refers to the operating method of the gear shifting mechanism in a vehicle. Currently, there are eight main types of gear shifting modes on the market, which are electronic gear lever shifting, electronic rotary knob shifting, electronic column shifting, push-button shifting, mechanical gear lever shifting, touchscreen shifting, instrument panel integrated shifting, and mechanical column shifting.",Driving comfort,"Mechanical gear stick, electronic gear stick, electronic shift-by-wire",
94,Center console screen size,Appearance,inch,"The size of the central control screen refers to the size of the LCD screen in the center of the central control console, usually calculated by the diagonal length of the screen, in inches.","Technology, entertainment, and data visualization",,
95,Liquid crystal display instrument size,Appearance,inch,"The size of a liquid crystal display (LCD) instrument refers to the size of the LCD screen in a car's instrument panel, partially replacing the content displayed by mechanical instruments. This concept aims to explain the size of the LCD screen on a car's instrument panel, i.e., its physical size, which is usually used to display various vehicle information and warnings, partially replacing traditional mechanical instruments. The size of an LCD instrument panel can be expressed in inches, like televisions and monitors; a larger size provides clearer visuals and more information display.","Appearance, driving convenience, information visualization, customization, personalization",,
96,Seat material,Appearance,Type,"The choice of seat material affects driving comfort and safety. Common seat materials include fabric, leather, and leatherette. Fabric seats are low-cost but difficult to clean; leather seats are durable and easy to clean, but expensive. Leatherette seats are a cost-effective option; they look like leather but are actually artificial leather, mainly made of plastic and rubber.","Comfort, safety, feel, support","Genuine leather, imitation leather, fabric",
97,Front/Rear Handrail,Appearance,Type,"Front/rear armrests are configurations located between car seats, providing elbow support for passengers and increasing riding comfort. Front center armrest: Located in the middle of the front seats, it often has cup holders and storage functions underneath. Rear center armrest: Located in the middle of the rear seats, it is mostly retractable, providing elbow space for rear passengers. Some models also have cup holders, multimedia control areas, and rear seat adjustment buttons.","Riding comfort, storage convenience, control adjustment convenience","Front row, back row",
98,Central control screen type,Appearance,Inch,"The central control screen type refers to the technology category of the display screen on the vehicle's central console, typically including resistive touchscreens, capacitive touchscreens, liquid crystal displays (LCD), and organic light-emitting diode displays (OLED), etc. It is mainly used to display and control functions such as navigation, entertainment, and vehicle settings. The screen type affects its touch sensitivity, display effect, and response speed.","Good feel, entertainment, information visualization",,
99,Passenger entertainment screen,Appearance,Inch,"A co-driver entertainment screen refers to a display device equipped on the passenger side, designed to differ from the functional attributes of the in-car instrument panel and central control screen, and is a multimedia configuration specifically for providing entertainment services to the front passenger.","Entertainment, comfort, watching movies, playing games, karaoke",,
100,Rear LCD screen,Appearance,With or without,"The rear LCD screen is a liquid crystal display screen placed behind the headrests of the front seats or fixed to the car ceiling behind the center armrest of the front seats.  It is mainly used for playing videos, TV, and games, for the convenience of rear passengers, and is often found in high-end sedans, SUVs, or MPVs.","Entertainment, video playback, games",,
101,Multimedia interface,Appearance,Type,"Multimedia interfaces refer to the interfaces in a vehicle that connect external devices.  They allow connection of mobile devices such as mobile phones, MP3/MP4 players, USB flash drives, and mobile hard drives, and play audio and video content from these devices through the vehicle's built-in audio-visual system. Multimedia interfaces include interfaces that support external audio source input and interfaces that only charge devices. Commonly used multimedia interfaces include SD, HDMI, Type-C, USB, and AUX.  Among these, HDMI is a high-definition multimedia interface that enables high-definition video signal transmission, transmitting audio and video signals from devices such as mobile phones and tablets to the in-car audio-visual system, enhancing the in-car entertainment experience.  In-car USB and Type-C interfaces are generally located in the front passenger glove box, the storage compartment under the center console armrest, and the rear ones are usually located below the rear air conditioning vents.","Signal transmission, connection, multimedia playback, entertainment","SD card slot, USB, Type-C",
102,In-car ambient lighting,Appearance,Type,"In-car ambient lighting is a decorative light mainly used to create an atmosphere inside the car, making the cabin more gorgeous at night and enhancing the ambiance. The colors of ambient lighting are usually red, purple, blue, and green, with some models offering many color options and allowing color switching, even providing flowing or breathing light effects.  Ambient lighting can be installed in the steering wheel, center console, footwells, cup holders, ceiling, welcome lights, welcome pedals, doors, and trunk, not only giving a warm and comfortable feeling like home, but also conveying a sense of technology and luxury.  At the same time, ambient lighting can improve night driving safety, alleviate driver fatigue, make in-car life more refined, and create a relaxed and pleasant atmosphere.","In-car atmosphere, multiple colors, lighting effects, technological feel, luxurious feel, driving safety, fatigue relief","Monochromatic, polychromatic",
103,Power window,Appearance,With or without,"Power windows are devices that use the vehicle's power supply to drive the glass lifter motor, enabling the automatic raising and lowering of the car window glass. This device allows the driver or passenger to control the raising and lowering of the window via a switch, eliminating the need for manual operation, thus improving convenience and driving safety.","Electric lift, convenient operation",,
104,Multi-layer soundproof glass,Appearance,With or without,"Multilayer soundproof glass is a glass product that provides a certain degree of sound insulation. It is usually a double-layer or multilayer composite laminated glass. The sound-insulating damping adhesive (film) between these layers plays a key role in weakening and attenuating sound transmission, effectively reducing noise inside vehicles and improving riding comfort.","Quietness, riding comfort, noise isolation",,
105,Car sunshade,Appearance,Have or have not,"Car sunshades are devices used to effectively block sunlight from the front windshield, side windows, and rear windows of a car. They are generally made of black mesh fabric and have good shading and heat insulation functions.  They can also block ultraviolet rays, protect the interior of the car, and effectively lower the interior temperature, preventing the aging of car interiors. Sunshades can also utilize the darkroom effect and one-way visibility to effectively block outside vision, protecting privacy while ensuring good visibility inside the car. Car sunshades can be divided into rear side window sunshades and rear windshield sunshades, and can also be divided into manual and electric adjustment methods.","Privacy, ride comfort, sunshade and sun protection, heat insulation, temperature reduction",,
